
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0[IANA]:21             0.0.0.0[IANA]:0              LISTENING       1176
  TCP    0.0.0.0[IANA]:80             0.0.0.0[IANA]:0              LISTENING       4
  TCP    0.0.0.0[IANA]:135            0.0.0.0[IANA]:0              LISTENING       568
  TCP    0.0.0.0[IANA]:443            0.0.0.0[IANA]:0              LISTENING       4
  TCP    0.0.0.0[IANA]:445            0.0.0.0[IANA]:0              LISTENING       4
  TCP    0.0.0.0[IANA]:888            0.0.0.0[IANA]:0              LISTENING       4
  TCP    0.0.0.0[IANA]:3000           0.0.0.0[IANA]:0              LISTENING       3332
  TCP    0.0.0.0[IANA]:3306           0.0.0.0[IANA]:0              LISTENING       1256
  TCP    0.0.0.0[IANA]:3389           0.0.0.0[IANA]:0              LISTENING       2244
  TCP    0.0.0.0[IANA]:5985           0.0.0.0[IANA]:0              LISTENING       4
  TCP    0.0.0.0[IANA]:6060           0.0.0.0[IANA]:0              LISTENING       3308
  TCP    0.0.0.0[IANA]:8888           0.0.0.0[IANA]:0              LISTENING       4984
  TCP    0.0.0.0[IANA]:47001          0.0.0.0[IANA]:0              LISTENING       4
  TCP    0.0.0.0[IANA]:49152          0.0.0.0[IANA]:0              LISTENING       380
  TCP    0.0.0.0[IANA]:49153          0.0.0.0[IANA]:0              LISTENING       676
  TCP    0.0.0.0[IANA]:49154          0.0.0.0[IANA]:0              LISTENING       712
  TCP    0.0.0.0[IANA]:49155          0.0.0.0[IANA]:0              LISTENING       1340
  TCP    0.0.0.0[IANA]:49160          0.0.0.0[IANA]:0              LISTENING       472
  TCP    0.0.0.0[IANA]:49192          0.0.0.0[IANA]:0              LISTENING       464
  TCP    10.0.24.15[局域网]:139         0.0.0.0[IANA]:0              LISTENING       4
  TCP    10.0.24.15[局域网]:3000        3.8.123.126[英国]:21345      ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        13.40.27.223[美国]:21345     ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        35.178.250.170[英国]:21345   ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        45.143.201.62[美国]:65256    ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        80.66.66.14[俄罗斯]:28714      ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        89.248.163.166[荷兰]:40969   ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        89.248.165.253[荷兰]:40136   ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        92.63.196.3[俄罗斯]:42677      ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        104.152.52.56[北美地区]:35942    ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        104.152.52.61[北美地区]:40172    ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        107.174.176.6[北美地区]:56195    ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3000        198.23.149.111[美国]:46782   ESTABLISHED     3332
  TCP    10.0.24.15[局域网]:3389        106.120.73.234[北京市]:41682   ESTABLISHED     2244
  TCP    10.0.24.15[局域网]:6060        167.99.201.117[美国]:54802   ESTABLISHED     3308
  TCP    10.0.24.15[局域网]:6060        167.248.133.45[美国]:54880   ESTABLISHED     3308
  TCP    10.0.24.15[局域网]:8888        18.133.231.83[美国]:21345    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        18.135.17.56[美国]:21345     ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        35.178.250.170[英国]:21345   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        36.112.193.206[北京市]:25676   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        36.112.193.206[北京市]:25683   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        36.112.193.206[北京市]:25684   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        36.112.193.206[北京市]:25685   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        36.112.193.206[北京市]:25799   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        36.112.193.206[北京市]:25854   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        45.143.201.62[美国]:62706    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        45.143.201.62[美国]:63128    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        45.143.201.62[美国]:64971    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        45.143.201.62[美国]:65390    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        90.151.171.106[俄罗斯]:8012    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        90.151.171.106[俄罗斯]:19890   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        90.151.171.106[俄罗斯]:41934   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        90.151.171.106[俄罗斯]:55006   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        90.151.171.106[俄罗斯]:55610   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        90.151.171.106[俄罗斯]:62848   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        91.240.118.105[荷兰]:64190   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        93.174.95.106[荷兰]:50886    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        104.152.52.89[北美地区]:59082    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        104.152.52.117[北美地区]:49011   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        104.152.52.135[北美地区]:54783   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        104.152.52.241[北美地区]:56614   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        107.174.176.6[北美地区]:56195    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        122.118.134.163[台湾省]:31469  ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        122.118.134.170[台湾省]:43377  ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        128.1.61.199[美国]:38490     ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        139.59.22.129[印度]:52266    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        163.47.36.33[孟加拉]:60000     ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        167.94.138.46[美国]:59472    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        185.149.40.210[乌克兰]:38102   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        185.149.40.210[乌克兰]:53468   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        185.149.40.210[乌克兰]:54180   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        185.170.144.46[英国]:3118    ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        185.170.144.46[英国]:62088   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        185.170.144.46[英国]:65096   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        188.92.77.15[拉脱维亚]:63284     ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:8888        198.23.149.111[美国]:46782   ESTABLISHED     4984
  TCP    10.0.24.15[局域网]:51119       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51122       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51125       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51128       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51131       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51135       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51307       13.224.141.57[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51310       13.224.141.57[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:51313       13.249.146.128[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52106       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52110       18.65.185.26[美国]:443       CLOSE_WAIT      5832
