
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:21             0.0.0.0:0              LISTENING       1176
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       568
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:888            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       3332
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       1256
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2244
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:6060           0.0.0.0:0              LISTENING       3308
  TCP    0.0.0.0:8888           0.0.0.0:0              LISTENING       4984
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       380
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       676
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       712
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING       1340
  TCP    0.0.0.0:49160          0.0.0.0:0              LISTENING       472
  TCP    0.0.0.0:49192          0.0.0.0:0              LISTENING       464
  TCP    10.0.24.15:139         0.0.0.0:0              LISTENING       4
  TCP    10.0.24.15:3000        3.8.123.126:21345      ESTABLISHED     3332
  TCP    10.0.24.15:3000        13.40.27.223:21345     ESTABLISHED     3332
  TCP    10.0.24.15:3000        35.178.250.170:21345   ESTABLISHED     3332
  TCP    10.0.24.15:3000        45.143.201.62:65256    ESTABLISHED     3332
  TCP    10.0.24.15:3000        80.66.66.14:28714      ESTABLISHED     3332
  TCP    10.0.24.15:3000        89.248.163.166:40969   ESTABLISHED     3332
  TCP    10.0.24.15:3000        89.248.165.253:40136   ESTABLISHED     3332
  TCP    10.0.24.15:3000        92.63.196.3:42677      ESTABLISHED     3332
  TCP    10.0.24.15:3000        104.152.52.56:35942    ESTABLISHED     3332
  TCP    10.0.24.15:3000        104.152.52.61:40172    ESTABLISHED     3332
  TCP    10.0.24.15:3000        107.174.176.6:56195    ESTABLISHED     3332
  TCP    10.0.24.15:3000        198.23.149.111:46782   ESTABLISHED     3332
  TCP    10.0.24.15:3389        106.120.73.234:41682   ESTABLISHED     2244
  TCP    10.0.24.15:6060        167.99.201.117:54802   ESTABLISHED     3308
  TCP    10.0.24.15:6060        167.248.133.45:54880   ESTABLISHED     3308
  TCP    10.0.24.15:8888        18.133.231.83:21345    ESTABLISHED     4984
  TCP    10.0.24.15:8888        18.135.17.56:21345     ESTABLISHED     4984
  TCP    10.0.24.15:8888        35.178.250.170:21345   ESTABLISHED     4984
  TCP    10.0.24.15:8888        36.112.193.206:25676   ESTABLISHED     4984
  TCP    10.0.24.15:8888        36.112.193.206:25683   ESTABLISHED     4984
  TCP    10.0.24.15:8888        36.112.193.206:25684   ESTABLISHED     4984
  TCP    10.0.24.15:8888        36.112.193.206:25685   ESTABLISHED     4984
  TCP    10.0.24.15:8888        36.112.193.206:25799   ESTABLISHED     4984
  TCP    10.0.24.15:8888        36.112.193.206:25854   ESTABLISHED     4984
  TCP    10.0.24.15:8888        45.143.201.62:62706    ESTABLISHED     4984
  TCP    10.0.24.15:8888        45.143.201.62:63128    ESTABLISHED     4984
  TCP    10.0.24.15:8888        45.143.201.62:64971    ESTABLISHED     4984
  TCP    10.0.24.15:8888        45.143.201.62:65390    ESTABLISHED     4984
  TCP    10.0.24.15:8888        90.151.171.106:8012    ESTABLISHED     4984
  TCP    10.0.24.15:8888        90.151.171.106:19890   ESTABLISHED     4984
  TCP    10.0.24.15:8888        90.151.171.106:41934   ESTABLISHED     4984
  TCP    10.0.24.15:8888        90.151.171.106:55006   ESTABLISHED     4984
  TCP    10.0.24.15:8888        90.151.171.106:55610   ESTABLISHED     4984
  TCP    10.0.24.15:8888        90.151.171.106:62848   ESTABLISHED     4984
  TCP    10.0.24.15:8888        91.240.118.105:64190   ESTABLISHED     4984
  TCP    10.0.24.15:8888        93.174.95.106:50886    ESTABLISHED     4984
  TCP    10.0.24.15:8888        104.152.52.89:59082    ESTABLISHED     4984
  TCP    10.0.24.15:8888        104.152.52.117:49011   ESTABLISHED     4984
  TCP    10.0.24.15:8888        104.152.52.135:54783   ESTABLISHED     4984
  TCP    10.0.24.15:8888        104.152.52.241:56614   ESTABLISHED     4984
  TCP    10.0.24.15:8888        107.174.176.6:56195    ESTABLISHED     4984
  TCP    10.0.24.15:8888        122.118.134.163:31469  ESTABLISHED     4984
  TCP    10.0.24.15:8888        122.118.134.170:43377  ESTABLISHED     4984
  TCP    10.0.24.15:8888        128.1.61.199:38490     ESTABLISHED     4984
  TCP    10.0.24.15:8888        139.59.22.129:52266    ESTABLISHED     4984
  TCP    10.0.24.15:8888        163.47.36.33:60000     ESTABLISHED     4984
  TCP    10.0.24.15:8888        167.94.138.46:59472    ESTABLISHED     4984
  TCP    10.0.24.15:8888        185.149.40.210:38102   ESTABLISHED     4984
  TCP    10.0.24.15:8888        185.149.40.210:53468   ESTABLISHED     4984
  TCP    10.0.24.15:8888        185.149.40.210:54180   ESTABLISHED     4984
  TCP    10.0.24.15:8888        185.170.144.46:3118    ESTABLISHED     4984
  TCP    10.0.24.15:8888        185.170.144.46:62088   ESTABLISHED     4984
  TCP    10.0.24.15:8888        185.170.144.46:65096   ESTABLISHED     4984
  TCP    10.0.24.15:8888        188.92.77.15:63284     ESTABLISHED     4984
  TCP    10.0.24.15:8888        198.23.149.111:46782   ESTABLISHED     4984
  TCP    10.0.24.15:51119       13.249.167.127:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:51122       13.249.167.127:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:51125       13.249.167.127:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:51128       13.249.167.127:443     CLOSE_WAIT      5832
